method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.bluegolf.android.v6.Uploader$3: void run()>,0,<com.bluegolf.android.v6.Uploader: void <clinit>()>,1.0,1.0,4.0,28.0,0.0,7.0,16.0,1.0,1.0,-1.0,16.0,11433.0,64288.0,5.623021079331759,125.49206694873072,4.0,28.0,0.0,7.0,16.0,1.0,1.0,-1.0,16.0,11433.0,64288.0,5.623021079331759,125.49206694873072,0
<androidx.customview.widget.ViewDragHelper: void saveLastMotion(android.view.MotionEvent)>,0,<androidx.customview.widget.ViewDragHelper: boolean isValidPointerForActionMove(int)>,1.0,1.0,8.0,1.0,6.0,2.0,5.0,1.0,1.0,-1.0,5.0,11433.0,64288.0,5.623021079331759,125.49206694873072,8.0,1.0,6.0,2.0,5.0,1.0,1.0,-1.0,5.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<androidx.drawerlayout.widget.DrawerLayout: boolean onTouchEvent(android.view.MotionEvent)>,0,<androidx.customview.widget.ViewDragHelper: void processTouchEvent(android.view.MotionEvent)>,1.0,1.0,6.0,3.0,28.0,2.0,10.0,1.0,1.0,-1.0,10.0,11433.0,64288.0,5.623021079331759,125.49206694873072,6.0,3.0,28.0,2.0,10.0,1.0,1.0,-1.0,10.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<com.bluegolf.android.v6.BGActivity: void setupWebViewClient(java.lang.String)>,0,<com.bluegolf.android.v6.CameraUI: void <init>(android.app.Activity)>,1.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,-1.0,5.0,11433.0,64288.0,5.623021079331759,125.49206694873072,4.0,1.0,4.0,2.0,5.0,1.0,1.0,-1.0,5.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.customview.widget.ViewDragHelper: boolean tryCaptureViewForDrag(android.view.View,int)>",0,"<androidx.drawerlayout.widget.DrawerLayout$ViewDragCallback: boolean tryCaptureView(android.view.View,int)>",1.0,1.0,8.0,1.0,3.0,1.0,3.0,1.0,1.0,-1.0,3.0,11433.0,64288.0,5.623021079331759,125.49206694873072,8.0,1.0,3.0,1.0,3.0,1.0,1.0,-1.0,3.0,11433.0,64288.0,5.623021079331759,125.49206694873072,0
<androidx.drawerlayout.widget.DrawerLayout$ViewDragCallback: void onViewDragStateChanged(int)>,0,"<androidx.drawerlayout.widget.DrawerLayout: void updateDrawerState(int,int,android.view.View)>",1.0,1.0,6.0,1.0,16.0,3.0,2.0,1.0,1.0,-1.0,2.0,11433.0,64288.0,5.623021079331759,125.49206694873072,6.0,1.0,16.0,3.0,2.0,1.0,1.0,-1.0,2.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<androidx.drawerlayout.widget.DrawerLayout: int getDrawerLockMode(int)>,0,<androidx.core.view.ViewCompat: int getLayoutDirection(android.view.View)>,1.0,1.0,5.0,2.0,2.0,14.0,2.0,1.0,1.0,-1.0,2.0,11433.0,64288.0,5.623021079331759,125.49206694873072,5.0,2.0,2.0,14.0,2.0,1.0,1.0,-1.0,2.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<com.bluegolf.android.v6.RegWizActivity: void setupWebView(android.webkit.WebView,java.lang.String)>",0,<com.bluegolf.android.v6.RegisterUI: void <init>(android.app.Activity)>,1.0,1.0,3.0,1.0,4.0,2.0,12.0,1.0,1.0,-1.0,12.0,11433.0,64288.0,5.623021079331759,125.49206694873072,3.0,1.0,4.0,2.0,12.0,1.0,1.0,-1.0,12.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<com.bluegolf.android.v6.Uploader: void resumeAll(com.bluegolf.android.v6.CameraUI,java.lang.String)>",0,<com.bluegolf.android.v6.UploadPersister: void <clinit>()>,1.0,1.0,3.0,1.0,1.0,7.0,4.0,1.0,1.0,-1.0,4.0,11433.0,64288.0,5.623021079331759,125.49206694873072,3.0,1.0,1.0,7.0,4.0,1.0,1.0,-1.0,4.0,11433.0,64288.0,5.623021079331759,125.49206694873072,0
<com.bluegolf.android.v6.RegWizActivity: void onCreate(android.os.Bundle)>,0,"<com.bluegolf.android.v6.RegWizActivity: void setupWebView(android.webkit.WebView,java.lang.String)>",1.0,1.0,2.0,1.0,12.0,1.0,10.0,1.0,1.0,-1.0,10.0,11433.0,64288.0,5.623021079331759,125.49206694873072,2.0,1.0,12.0,1.0,10.0,1.0,1.0,-1.0,10.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<com.bluegolf.android.v6.Uploader: void resumeAll(com.bluegolf.android.v6.CameraUI,java.lang.String)>",0,"<com.bluegolf.android.v6.Uploader$3: void <init>(com.bluegolf.android.v6.CameraUI,java.lang.String)>",1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,11433.0,64288.0,5.623021079331759,125.49206694873072,3.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.core.content.FileProvider: androidx.core.content.FileProvider$PathStrategy parsePathStrategy(android.content.Context,java.lang.String)>",0,<androidx.core.content.ContextCompat: void <clinit>()>,1.0,1.0,4.0,1.0,1.0,11.0,18.0,1.0,1.0,-1.0,18.0,11433.0,64288.0,5.623021079331759,125.49206694873072,4.0,1.0,1.0,11.0,18.0,1.0,1.0,-1.0,18.0,11433.0,64288.0,5.623021079331759,125.49206694873072,0
"<androidx.drawerlayout.widget.DrawerLayout$ViewDragCallback: void onViewReleased(android.view.View,float,float)>",0,<androidx.drawerlayout.widget.DrawerLayout: float getDrawerViewOffset(android.view.View)>,1.0,1.0,9.0,1.0,1.0,2.0,6.0,1.0,1.0,-1.0,6.0,11433.0,64288.0,5.623021079331759,125.49206694873072,9.0,1.0,1.0,2.0,6.0,1.0,1.0,-1.0,6.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<androidx.drawerlayout.widget.DrawerLayout: void closeDrawers(boolean)>,0,<androidx.drawerlayout.widget.DrawerLayout$ViewDragCallback: void removeCallbacks()>,1.0,1.0,6.0,2.0,1.0,1.0,10.0,1.0,1.0,-1.0,10.0,11433.0,64288.0,5.623021079331759,125.49206694873072,6.0,2.0,1.0,1.0,10.0,1.0,1.0,-1.0,10.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<androidx.customview.widget.ViewDragHelper: boolean isValidPointerForActionMove(int)>,0,<androidx.customview.widget.ViewDragHelper: boolean isPointerDown(int)>,1.0,1.0,8.0,2.0,0.0,2.0,6.0,1.0,1.0,-1.0,6.0,11433.0,64288.0,5.623021079331759,125.49206694873072,8.0,2.0,0.0,2.0,6.0,1.0,1.0,-1.0,6.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<androidx.drawerlayout.widget.DrawerLayout: void dispatchOnDrawerOpened(android.view.View)>,0,"<androidx.drawerlayout.widget.DrawerLayout: void updateChildrenImportantForAccessibility(android.view.View,boolean)>",1.0,1.0,7.0,1.0,5.0,3.0,16.0,1.0,1.0,-1.0,16.0,11433.0,64288.0,5.623021079331759,125.49206694873072,7.0,1.0,5.0,3.0,16.0,1.0,1.0,-1.0,16.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.customview.widget.ViewDragHelper: boolean settleCapturedViewAt(int,int)>",0,"<androidx.customview.widget.ViewDragHelper: boolean forceSettleCapturedViewAt(int,int,int,int)>",1.0,1.0,10.0,2.0,6.0,2.0,4.0,1.0,1.0,-1.0,4.0,11433.0,64288.0,5.623021079331759,125.49206694873072,10.0,2.0,6.0,2.0,4.0,1.0,1.0,-1.0,4.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.drawerlayout.widget.DrawerLayout$ViewDragCallback: void onViewPositionChanged(android.view.View,int,int,int,int)>",0,"<androidx.drawerlayout.widget.DrawerLayout: void setDrawerViewOffset(android.view.View,float)>",1.0,1.0,9.0,1.0,2.0,2.0,13.0,1.0,1.0,-1.0,13.0,11433.0,64288.0,5.623021079331759,125.49206694873072,9.0,1.0,2.0,2.0,13.0,1.0,1.0,-1.0,13.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.drawerlayout.widget.DrawerLayout: void updateChildrenImportantForAccessibility(android.view.View,boolean)>",0,<androidx.drawerlayout.widget.DrawerLayout: boolean isDrawerView(android.view.View)>,1.0,1.0,7.0,3.0,4.0,10.0,5.0,1.0,1.0,-1.0,5.0,11433.0,64288.0,5.623021079331759,125.49206694873072,7.0,3.0,4.0,10.0,5.0,1.0,1.0,-1.0,5.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.drawerlayout.widget.DrawerLayout$ViewDragCallback: void onEdgeTouched(int,int)>",0,<com.bluegolf.android.v6.BGWebViewClient$1: void run()>,1.0,1.0,8.0,1.0,1.0,29.0,113.0,1.0,1.0,-1.0,113.0,11433.0,64288.0,5.623021079331759,125.49206694873072,8.0,1.0,1.0,29.0,113.0,1.0,1.0,-1.0,113.0,11433.0,64288.0,5.623021079331759,125.49206694873072,0
<com.bluegolf.android.v6.BGActivity: void setupWebViewClient(java.lang.String)>,0,"<com.bluegolf.android.v6.BGWebViewClient: void <init>(android.app.Activity,java.lang.String)>",1.0,1.0,4.0,1.0,2.0,2.0,5.0,1.0,1.0,-1.0,5.0,11433.0,64288.0,5.623021079331759,125.49206694873072,4.0,1.0,2.0,2.0,5.0,1.0,1.0,-1.0,5.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
