method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.lifecycle.LifecycleRegistry: void forwardPass(androidx.lifecycle.LifecycleOwner)>,0,<androidx.lifecycle.LifecycleRegistry: void pushParentState(androidx.lifecycle.Lifecycle$State)>,1.0,1.0,6.0,1.0,1.0,3.0,15.0,1.0,1.0,-1.0,15.0,23910.0,203743.0,8.521246340443328,175.52200075585418,6.0,1.0,1.0,3.0,15.0,1.0,1.0,-1.0,15.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,0,<androidx.appcompat.widget.ResourceManagerInternal: androidx.appcompat.widget.ResourceManagerInternal get()>,1.0,1.0,5.0,2.0,3.0,6.0,6.0,1.0,1.0,-1.0,6.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,2.0,3.0,6.0,6.0,1.0,1.0,-1.0,6.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.fragment.app.FragmentManagerViewModel: void <init>(boolean)>,0,<androidx.lifecycle.ViewModel: void <init>()>,1.0,1.0,7.0,3.0,2.0,2.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,7.0,3.0,2.0,2.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<rs.playradio.android.playradio.MainActivity: void <init>()>,0,<androidx.appcompat.app.AppCompatActivity: void <init>()>,1.0,1.0,2.0,1.0,1.0,5.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,2.0,1.0,1.0,5.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",0,<androidx.appcompat.widget.ResourceManagerInternal: void checkVectorDrawableSetup(android.content.Context)>,1.0,1.0,8.0,2.0,4.0,1.0,8.0,1.0,1.0,-1.0,8.0,23910.0,203743.0,8.521246340443328,175.52200075585418,8.0,2.0,4.0,1.0,8.0,1.0,1.0,-1.0,8.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
"<androidx.lifecycle.LifecycleRegistry$ObserverWithState: void <init>(androidx.lifecycle.LifecycleObserver,androidx.lifecycle.Lifecycle$State)>",0,<androidx.lifecycle.Lifecycling: androidx.lifecycle.LifecycleEventObserver lifecycleEventObserver(java.lang.Object)>,1.0,1.0,7.0,1.0,61.0,1.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,7.0,1.0,61.0,1.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
"<androidx.lifecycle.ViewModelProvider: androidx.lifecycle.ViewModel get(java.lang.String,java.lang.Class)>",0,<androidx.lifecycle.ViewModelStore: androidx.lifecycle.ViewModel get(java.lang.String)>,1.0,1.0,9.0,1.0,3.0,1.0,8.0,1.0,1.0,-1.0,8.0,23910.0,203743.0,8.521246340443328,175.52200075585418,9.0,1.0,3.0,1.0,8.0,1.0,1.0,-1.0,8.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.fragment.app.FragmentManagerImpl: boolean execPendingActions()>,0,<androidx.fragment.app.FragmentManagerImpl: void doPendingDeferredStart()>,1.0,1.0,4.0,7.0,1.0,2.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,4.0,7.0,1.0,2.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,0,<androidx.appcompat.widget.AppCompatDrawableManager: void <init>()>,1.0,1.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.appcompat.app.AppCompatActivity: void setTheme(int)>,0,<androidx.appcompat.app.AppCompatActivity: androidx.appcompat.app.AppCompatDelegate getDelegate()>,1.0,1.0,8.0,1.0,2.0,11.0,4.0,1.0,1.0,-1.0,4.0,23910.0,203743.0,8.521246340443328,175.52200075585418,8.0,1.0,2.0,11.0,4.0,1.0,1.0,-1.0,4.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<rs.playradio.android.playradio.common.RadioStation: void <clinit>()>,0,<rs.playradio.android.playradio.common.RadioStation: java.lang.String getUrl()>,1.0,1.0,2.0,4.0,0.0,2.0,21.0,1.0,1.0,-1.0,21.0,23910.0,203743.0,8.521246340443328,175.52200075585418,2.0,4.0,0.0,2.0,21.0,1.0,1.0,-1.0,21.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()>,0,<androidx.collection.ArraySet: void <clinit>()>,1.0,1.0,3.0,14.0,0.0,9.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,3.0,14.0,0.0,9.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
<androidx.appcompat.widget.AppCompatDrawableManager: androidx.appcompat.widget.AppCompatDrawableManager get()>,0,<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,1.0,1.0,7.0,4.0,6.0,2.0,2.0,1.0,1.0,-1.0,2.0,23910.0,203743.0,8.521246340443328,175.52200075585418,7.0,4.0,6.0,2.0,2.0,1.0,1.0,-1.0,2.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
<androidx.activity.ComponentActivity: void <init>()>,0,<androidx.activity.OnBackPressedDispatcher: void <init>(java.lang.Runnable)>,1.0,1.0,5.0,1.0,2.0,1.0,13.0,1.0,1.0,-1.0,13.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,1.0,2.0,1.0,13.0,1.0,1.0,-1.0,13.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.appcompat.app.AppCompatDelegateImpl: void attachToWindow(android.view.Window)>,0,"<androidx.appcompat.widget.TintTypedArray: androidx.appcompat.widget.TintTypedArray obtainStyledAttributes(android.content.Context,android.util.AttributeSet,int[])>",1.0,1.0,5.0,2.0,2.0,5.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,2.0,2.0,5.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.fragment.app.FragmentActivity$HostCallbacks: androidx.lifecycle.ViewModelStore getViewModelStore()>,0,<androidx.activity.ComponentActivity: androidx.lifecycle.ViewModelStore getViewModelStore()>,1.0,1.0,7.0,2.0,4.0,4.0,1.0,1.0,1.0,-1.0,1.0,23910.0,203743.0,8.521246340443328,175.52200075585418,7.0,2.0,4.0,4.0,1.0,1.0,1.0,-1.0,1.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<rs.playradio.android.playradio.network.StreamType: void <clinit>()>,0,"<rs.playradio.android.playradio.network.StreamType: void <init>(java.lang.String,int,java.lang.String)>",1.0,1.0,2.0,7.0,1.0,1.0,21.0,1.0,1.0,-1.0,21.0,23910.0,203743.0,8.521246340443328,175.52200075585418,2.0,7.0,1.0,1.0,21.0,1.0,1.0,-1.0,21.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
"<androidx.appcompat.app.AppCompatDelegateImpl: void <init>(android.content.Context,android.view.Window,androidx.appcompat.app.AppCompatCallback,java.lang.Object)>",0,<androidx.appcompat.app.AppCompatActivity: androidx.appcompat.app.AppCompatDelegate getDelegate()>,1.0,1.0,4.0,2.0,2.0,11.0,47.0,1.0,1.0,-1.0,47.0,23910.0,203743.0,8.521246340443328,175.52200075585418,4.0,2.0,2.0,11.0,47.0,1.0,1.0,-1.0,47.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
<androidx.fragment.app.FragmentManagerImpl: void dispatchStateChange(int)>,0,"<androidx.fragment.app.FragmentManagerImpl: void moveToState(int,boolean)>",1.0,1.0,5.0,8.0,156.0,5.0,2.0,1.0,1.0,-1.0,2.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,8.0,156.0,5.0,2.0,1.0,1.0,-1.0,2.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
