method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.core.provider.FontProvider: java.util.List getCertificates(androidx.core.provider.FontRequest,android.content.res.Resources)>",0,<androidx.core.provider.FontRequest: java.util.List getCertificates()>,1.0,1.0,8.0,1.0,0.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,8.0,1.0,0.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,12703.0,95148.0,7.490199165551444,138.6200866019254,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.core.view.WindowInsetsCompat$BuilderImpl29: androidx.core.view.WindowInsetsCompat build()>,0,<androidx.core.view.WindowInsetsCompat$BuilderImpl: void applyInsetTypes()>,1.0,1.0,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<androidx.lifecycle.FullLifecycleObserverAdapter: void onStateChanged(androidx.lifecycle.LifecycleOwner,androidx.lifecycle.Lifecycle$Event)>",0,<androidx.lifecycle.FullLifecycleObserverAdapter$1: void <clinit>()>,1.0,1.0,8.0,3.0,3.0,1.0,29.0,1.0,1.0,-1.0,29.0,12703.0,95148.0,7.490199165551444,138.6200866019254,8.0,3.0,3.0,1.0,29.0,1.0,1.0,-1.0,29.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<cordova.plugins.Diagnostic_Location: void initialize(org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView)>",0,<cordova.plugins.Diagnostic: void <clinit>()>,1.0,1.0,7.0,1.0,7.0,11.0,20.0,1.0,1.0,-1.0,20.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,1.0,7.0,11.0,20.0,1.0,1.0,-1.0,20.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,9.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,12703.0,95148.0,7.490199165551444,138.6200866019254,9.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<org.apache.cordova.file.AssetFilesystem: org.json.JSONObject getFileMetadataForLocalURL(org.apache.cordova.file.LocalFilesystemURL)>,0,<org.apache.cordova.file.AssetFilesystem: android.net.Uri toNativeUri(org.apache.cordova.file.LocalFilesystemURL)>,1.0,1.0,7.0,3.0,1.0,8.0,11.0,1.0,1.0,-1.0,11.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,3.0,1.0,8.0,11.0,1.0,1.0,-1.0,11.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.collection.ArraySet: boolean addAll(java.util.Collection)>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,1.0,1.0,7.0,1.0,1.0,202.0,157.0,1.0,1.0,-1.0,157.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,1.0,1.0,202.0,157.0,1.0,1.0,-1.0,157.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<org.apache.cordova.AllowListPlugin: void pluginInitialize()>,0,<org.apache.cordova.ConfigXmlParser: void <clinit>()>,1.0,1.0,7.0,1.0,0.0,4.0,5.0,1.0,1.0,-1.0,5.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,1.0,0.0,4.0,5.0,1.0,1.0,-1.0,5.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",0,<androidx.core.content.ContextCompat: void <clinit>()>,1.0,1.0,7.0,2.0,1.0,11.0,8.0,1.0,1.0,-1.0,8.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,2.0,1.0,11.0,8.0,1.0,1.0,-1.0,8.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.emoji2.text.MetadataListReader: androidx.emoji2.text.flatbuffer.MetadataList read(java.nio.ByteBuffer)>,0,<androidx.emoji2.text.MetadataListReader$OffsetInfo: long getStartOffset()>,1.0,1.0,6.0,1.0,0.0,1.0,4.0,1.0,1.0,-1.0,4.0,12703.0,95148.0,7.490199165551444,138.6200866019254,6.0,1.0,0.0,1.0,4.0,1.0,1.0,-1.0,4.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.emoji2.viewsintegration.EmojiTextViewHelper$HelperInternal19: void setEnabled(boolean)>,0,<androidx.emoji2.viewsintegration.EmojiTextViewHelper$HelperInternal19: void updateFilters()>,1.0,1.0,12.0,2.0,9.0,1.0,2.0,1.0,1.0,-1.0,2.0,12703.0,95148.0,7.490199165551444,138.6200866019254,12.0,2.0,9.0,1.0,2.0,1.0,1.0,-1.0,2.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.core.view.WindowInsetsCompat: int getSystemWindowInsetTop()>,0,<androidx.core.view.WindowInsetsCompat$Impl20: androidx.core.graphics.Insets getSystemWindowInsets()>,1.0,1.0,4.0,5.0,6.0,11.0,2.0,1.0,1.0,-1.0,2.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,5.0,6.0,11.0,2.0,1.0,1.0,-1.0,2.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.fragment.app.FragmentActivity: void onPause()>,0,<androidx.lifecycle.Lifecycle$Event: void <clinit>()>,1.0,1.0,3.0,1.0,1.0,47.0,4.0,1.0,1.0,-1.0,4.0,12703.0,95148.0,7.490199165551444,138.6200866019254,3.0,1.0,1.0,47.0,4.0,1.0,1.0,-1.0,4.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.collection.ArraySet: boolean addAll(java.util.Collection)>,0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: java.util.Map$Entry next()>,1.0,1.0,7.0,1.0,0.0,205.0,157.0,1.0,1.0,-1.0,157.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,1.0,0.0,205.0,157.0,1.0,1.0,-1.0,157.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<com.megster.cordova.ble.central.BLECentralPlugin: void findLowEnergyDevices(org.apache.cordova.CallbackContext,java.util.UUID[],int,android.bluetooth.le.ScanSettings)>",0,<org.apache.cordova.PluginResult$Status: void <clinit>()>,1.0,1.0,7.0,1.0,1.0,33.0,207.0,1.0,1.0,-1.0,207.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,1.0,1.0,33.0,207.0,1.0,1.0,-1.0,207.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<androidx.appcompat.app.AppCompatDelegateImpl: boolean preparePanel(androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState,android.view.KeyEvent)>",0,"<androidx.appcompat.view.WindowCallbackWrapper: boolean onPreparePanel(int,android.view.View,android.view.Menu)>",1.0,1.0,4.0,6.0,5.0,6.0,31.0,1.0,1.0,-1.0,31.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,6.0,5.0,6.0,31.0,1.0,1.0,-1.0,31.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,"<androidx.arch.core.internal.FastSafeIterableMap: java.lang.Object putIfAbsent(java.lang.Object,java.lang.Object)>",1.0,1.0,6.0,10.0,3.0,5.0,19.0,1.0,1.0,-1.0,19.0,12703.0,95148.0,7.490199165551444,138.6200866019254,6.0,10.0,3.0,5.0,19.0,1.0,1.0,-1.0,19.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.appcompat.app.AppCompatDelegate: void removeActivityDelegate(androidx.appcompat.app.AppCompatDelegate)>,0,<androidx.appcompat.app.AppCompatDelegate: void <clinit>()>,1.0,1.0,5.0,1.0,3.0,16.0,2.0,1.0,1.0,-1.0,2.0,12703.0,95148.0,7.490199165551444,138.6200866019254,5.0,1.0,3.0,16.0,2.0,1.0,1.0,-1.0,2.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable tintDrawable(android.content.Context,int,boolean,android.graphics.drawable.Drawable)>",0,"<androidx.appcompat.widget.AppCompatDrawableManager$1: boolean tintDrawable(android.content.Context,int,android.graphics.drawable.Drawable)>",1.0,1.0,8.0,2.0,7.0,1.0,28.0,1.0,1.0,-1.0,28.0,12703.0,95148.0,7.490199165551444,138.6200866019254,8.0,2.0,7.0,1.0,28.0,1.0,1.0,-1.0,28.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.appcompat.widget.VectorEnabledTintResources: boolean shouldBeUsed()>,0,<androidx.appcompat.widget.VectorEnabledTintResources: boolean isCompatVectorFromResourcesEnabled()>,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.core.view.WindowInsetsCompat: void <clinit>()>,0,<androidx.core.view.WindowInsetsCompat$Impl: void <clinit>()>,1.0,1.0,2.0,21.0,5.0,7.0,4.0,1.0,1.0,-1.0,4.0,12703.0,95148.0,7.490199165551444,138.6200866019254,2.0,21.0,5.0,7.0,4.0,1.0,1.0,-1.0,4.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.savedstate.SavedStateRegistryController: void performSave(android.os.Bundle)>,0,<androidx.savedstate.SavedStateRegistry: void performSave(android.os.Bundle)>,1.0,1.0,4.0,3.0,18.0,1.0,1.0,1.0,1.0,-1.0,1.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,3.0,18.0,1.0,1.0,1.0,1.0,-1.0,1.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: androidx.arch.core.internal.SafeIterableMap$Entry nextNode()>,1.0,1.0,3.0,202.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,12703.0,95148.0,7.490199165551444,138.6200866019254,3.0,202.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.emoji2.text.EmojiCompat: void <init>(androidx.emoji2.text.EmojiCompat$Config)>,0,<androidx.emoji2.text.EmojiCompat$CompatInternal: void <init>(androidx.emoji2.text.EmojiCompat)>,1.0,1.0,6.0,1.0,1.0,2.0,24.0,1.0,1.0,-1.0,24.0,12703.0,95148.0,7.490199165551444,138.6200866019254,6.0,1.0,1.0,2.0,24.0,1.0,1.0,-1.0,24.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.fragment.app.FragmentManager: java.util.Set collectAllSpecialEffectsController()>,0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,7.0,3.0,0.0,201.0,107.0,1.0,1.0,-1.0,107.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,3.0,0.0,201.0,107.0,1.0,1.0,-1.0,107.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<androidx.appcompat.app.AppCompatDelegateImpl: void openPanel(androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState,android.view.KeyEvent)>",0,<androidx.appcompat.app.AppCompatDelegateImpl: boolean initializePanelDecor(androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState)>,1.0,1.0,6.0,2.0,4.0,1.0,50.0,1.0,1.0,-1.0,50.0,12703.0,95148.0,7.490199165551444,138.6200866019254,6.0,2.0,4.0,1.0,50.0,1.0,1.0,-1.0,50.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<androidx.core.provider.FontProvider: androidx.core.provider.FontsContractCompat$FontFamilyResult getFontFamilyResult(android.content.Context,androidx.core.provider.FontRequest,android.os.CancellationSignal)>",0,"<androidx.core.provider.FontsContractCompat$FontFamilyResult: androidx.core.provider.FontsContractCompat$FontFamilyResult create(int,androidx.core.provider.FontsContractCompat$FontInfo[])>",1.0,1.0,6.0,2.0,1.0,1.0,10.0,1.0,1.0,-1.0,10.0,12703.0,95148.0,7.490199165551444,138.6200866019254,6.0,2.0,1.0,1.0,10.0,1.0,1.0,-1.0,10.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
