method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.getcapacitor.Bridge$Builder: com.getcapacitor.Bridge create()>,0,<org.apache.cordova.CordovaPreferences: void setPreferencesBundle(android.os.Bundle)>,1.0,1.0,4.0,2.0,0.0,1.0,23.0,1.0,1.0,-1.0,23.0,11971.0,65005.0,5.430206331968925,119.06716406430274,4.0,2.0,0.0,1.0,23.0,1.0,1.0,-1.0,23.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<androidx.fragment.app.FragmentStore: java.util.List getActiveFragmentStateManagers()>,0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: boolean hasNext()>,1.0,1.0,7.0,4.0,0.0,180.0,29.0,1.0,1.0,-1.0,29.0,11971.0,65005.0,5.430206331968925,119.06716406430274,7.0,4.0,0.0,180.0,29.0,1.0,1.0,-1.0,29.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
<com.getcapacitor.Plugin: void initializeActivityLaunchers()>,0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: java.util.Map$Entry next()>,1.0,1.0,7.0,1.0,0.0,181.0,35.0,1.0,1.0,-1.0,35.0,11971.0,65005.0,5.430206331968925,119.06716406430274,7.0,1.0,0.0,181.0,35.0,1.0,1.0,-1.0,35.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
<androidx.fragment.app.FragmentManager: void <init>()>,0,"<androidx.fragment.app.FragmentManager$1: void <init>(androidx.fragment.app.FragmentManager,boolean)>",1.0,1.0,4.0,1.0,1.0,1.0,17.0,1.0,1.0,-1.0,17.0,11971.0,65005.0,5.430206331968925,119.06716406430274,4.0,1.0,1.0,1.0,17.0,1.0,1.0,-1.0,17.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<io.blackthorn.mobilecheckin.MainActivity: void <init>()>,0,<com.getcapacitor.BridgeActivity: void <init>()>,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,11971.0,65005.0,5.430206331968925,119.06716406430274,2.0,1.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,22.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,11971.0,65005.0,5.430206331968925,119.06716406430274,5.0,22.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<androidx.lifecycle.LifecycleRegistry: androidx.lifecycle.Lifecycle$State calculateTargetState(androidx.lifecycle.LifecycleObserver)>,0,<androidx.arch.core.internal.SafeIterableMap$Entry: java.lang.Object getValue()>,1.0,1.0,8.0,1.0,0.0,29.0,7.0,1.0,1.0,-1.0,7.0,11971.0,65005.0,5.430206331968925,119.06716406430274,8.0,1.0,0.0,29.0,7.0,1.0,1.0,-1.0,7.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
<androidx.fragment.app.FragmentManager: void dispatchActivityCreated()>,0,<androidx.fragment.app.FragmentManagerViewModel: void setIsStateSaved(boolean)>,1.0,1.0,6.0,2.0,0.0,9.0,2.0,1.0,1.0,-1.0,2.0,11971.0,65005.0,5.430206331968925,119.06716406430274,6.0,2.0,0.0,9.0,2.0,1.0,1.0,-1.0,2.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<com.getcapacitor.Bridge: void initWebView()>,0,<com.getcapacitor.Logger: void debug(java.lang.String)>,1.0,1.0,7.0,1.0,1.0,14.0,15.0,1.0,1.0,-1.0,15.0,11971.0,65005.0,5.430206331968925,119.06716406430274,7.0,1.0,1.0,14.0,15.0,1.0,1.0,-1.0,15.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,17.0,2.0,19.0,1.0,1.0,-1.0,19.0,11971.0,65005.0,5.430206331968925,119.06716406430274,8.0,1.0,17.0,2.0,19.0,1.0,1.0,-1.0,19.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
"<com.getcapacitor.WebViewLocalServer: void registerUriForScheme(java.lang.String,com.getcapacitor.WebViewLocalServer$PathHandler,java.lang.String)>",0,"<com.getcapacitor.WebViewLocalServer: void register(android.net.Uri,com.getcapacitor.WebViewLocalServer$PathHandler)>",1.0,1.0,10.0,1.0,1.0,1.0,8.0,1.0,1.0,-1.0,8.0,11971.0,65005.0,5.430206331968925,119.06716406430274,10.0,1.0,1.0,1.0,8.0,1.0,1.0,-1.0,8.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
